,Name,url,Sector,Industry,Employees,Description,Executive1,Executive2,Executive3,Executive4,Executive5
ABUS,Arbutus Biopharma Corporation,http://www.tekmirapharm.com,Healthcare,Biotechnology,122,"Arbutus Biopharma Corporation, a biopharmaceutical company, engages in discovering, developing, and commercializing a cure for patients suffering from chronic Hepatitis B virus (HBV) infection in Canada and the United States. It also develops a pipeline of products based on RNA interference therapeutics (RNAi). The companys lead candidate is ARB-1467, which is in a Phase II trial to eliminate HBV surface antigen expression in patients chronically infected with HBV. Its product candidates also comprise ARB-1740, a pan-genotypic second-generation siRNA therapeutic in Phase II multi-dose study in Hepatitis B e antigen-chronic HBV patients; and AB-423, a core protein/capsid assembly inhibitor in Phase I clinical trial as an oral therapeutic for the treatment of chronic HBV infection. In addition, the company has various research programs for the discovery and development of proprietary HBV candidates, including oral surface antigen inhibitors, cccDNA targeting agents, and immunomodulators. Further, its partnered programs consist of Patisiran (ALN-TTR02), an RNAi therapeutic targeting transthyretin (TTR) in Phase III clinical trial for the treatment of TTR-mediated amyloidosis in patients with FAP; Marqibo for the treatment of adult patients with Philadelphia chromosome-negative acute lymphoblastic leukemia in second or greater relapse or whose disease has progressed following two or more lines of anti-leukemia therapy; and DCR-PH1 for the treatment of primary hyperoxaluria type 1. The company was formerly known as Tekmira Pharmaceuticals Corporation and changed its name to Arbutus Biopharma Corporation in July 2015. Arbutus Biopharma Corporation is headquartered in Burnaby, Canada.","{'name': 'Dr. Mark Joseph Murray Ph.D.', 'title': 'CEO, Pres & Exec. Director', 'pay': '794.78k', 'exercised': 'N/A', 'age': '68'}","{'name': 'Mr. Bruce G. Cousins C.A., CPA', 'title': 'Exec. VP of Fin. & CFO', 'pay': '490.31k', 'exercised': 'N/A', 'age': '56'}","{'name': 'Dr. Peter  Lutwyche Ph.D.', 'title': 'Chief Technology Officer', 'pay': '400.22k', 'exercised': 'N/A', 'age': '51'}","{'name': 'Dr. Michael J. Sofia Ph.D.', 'title': 'Chief Scientific Officer', 'pay': '464k', 'exercised': 'N/A', 'age': '59'}","{'name': 'Dr. Elizabeth  Howard Ph.D., J.D.', 'title': 'Exec. VP & Gen. Counsel', 'pay': '363.3k', 'exercised': 'N/A', 'age': '63'}"
ACAD,ACADIA Pharmaceuticals Inc.,http://www.acadia-pharm.com,N/A,N/A,N/A,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization of small molecule drugs that address unmet medical needs in central nervous system disorders. Its lead product candidate, NUPLAZID, has completed the Phase III pivotal trials for the treatment of Parkinsons disease psychosis and the Phase II trial for the treatment of schizophrenia, as well as is in Phase II study for the treatment of Alzheimers disease psychosis. The company has a collaboration with Allergan, Inc. for the development of product candidates related to chronic pain. ACADIA Pharmaceuticals Inc. was founded in 1993 and is headquartered in San Diego, California.","{'name': 'Mr. Stephen R. Davis J.D.', 'title': 'Chief Exec. Officer, Pres and Director', 'pay': '1.13M', 'exercised': 'N/A', 'age': '56'}","{'name': 'Mr. Todd S. Young', 'title': 'Chief Financial Officer and Exec. VP', 'pay': '409.1k', 'exercised': 'N/A', 'age': '45'}","{'name': 'Mr. Glenn F. Baity', 'title': 'Exec. VP, Gen. Counsel and Sec.', 'pay': 'N/A', 'exercised': 'N/A', 'age': '47'}","{'name': 'Dr. Srdjan R. Stankovic M.D., M.S.P.H.', 'title': 'Head of R&D and Exec. VP', 'pay': '709.79k', 'exercised': 'N/A', 'age': '60'}","{'name': 'Mr. James A. Nash', 'title': 'Sr. VP of Technology Devel. & Operations', 'pay': 'N/A', 'exercised': 'N/A', 'age': '66'}"
ACHN,"Achillion Pharmaceuticals, Inc.",http://www.achillion.com,Healthcare,Biotechnology,81,"Achillion Pharmaceuticals, Inc., a biopharmaceutical company, discovers, develops, and commercializes small molecule drug therapies for infectious diseases and immune system disorders in the United States and internationally. Its drug candidates for treating chronic hepatitis C virus (HCV) infection comprise Odalasvir, a NS5A inhibitor, which has completed Phase IIa clinical trials; ACH-3422, a NS5B nucleotide polymerase inhibitor; and Sovaprevir, a NS3 protease inhibitor that has completed Phase II clinical trial. The company is also developing ACH-4471, a complement factor D inhibitor, which is in Phase I clinical trial to treat patients with paroxysmal nocturnal hemoglobinuria and C3G, a disease resulting from alternative pathway over-activation; and other factor D inhibitors. It has a license and development agreement with Ora, Inc. for the development and commercialization of ACH-702, a drug candidate that is delivered topically or locally; and collaboration arrangement with Janssen Pharmaceuticals Inc. to develop and commercialize antiviral drug candidates for treating HCV infection. The company was founded in 1998 and is headquartered in New Haven, Connecticut.","{'name': 'Dr. Milind S. Deshpande Ph.D.', 'title': 'Chief Exec. Officer, Pres and Director', 'pay': '816.45k', 'exercised': 'N/A', 'age': '61'}","{'name': 'Ms. Mary Kay Fenton', 'title': 'Chief Financial Officer and Exec. VP', 'pay': '481.24k', 'exercised': 'N/A', 'age': '54'}","{'name': 'Mr. Joseph  Truitt', 'title': 'Chief Operating Officer', 'pay': '491.44k', 'exercised': 'N/A', 'age': '53'}","{'name': 'Dr. David  Apelian', 'title': 'Former Exec. VP & Chief Medical Officer', 'pay': '658.21k', 'exercised': 'N/A', 'age': '53'}","{'name': 'Glenn  Schulman', 'title': 'Exec. Director of Investor Relations', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
ACOR,"Acorda Therapeutics, Inc.",http://www.acorda.com,Healthcare,Biotechnology,597,"Acorda Therapeutics, Inc., a biopharmaceutical company, identifies, develops, and commercializes therapies for neurological disorders in the United States. The company markets Ampyra (dalfampridine), an oral drug to improve walking in patients with multiple sclerosis (MS); Zanaflex capsules and tablets for the management of spasticity; and Qutenza, a dermal patch for the management of neuropathic pain associated with post-herpetic neuralgia. It also markets Ampyra as Fampyra in Europe, Asia, and the Americas. In addition, the company develops CVT-301 that has completed a Phase III clinical trial for the treatment of OFF periods in Parkinsons disease; CVT-427, which has completed a Phase I clinical trial to treat migraine; Tozadenant that is in Phase III clinical trial for reduction of OFF time in Parkinsons disease; SYN120, which is in Phase II clinical trial to treat Parkinsons disease-related dementia; and BTT1023 (timolumab) that is in Phase II clinical trial for primary sclerosing cholangitis. Further, it develops rHIgM22, which is in Phase I clinical trial for the treatment of MS; Cimaglermin alfa that has completed a Phase I clinical trial in heart failure patients; and Chondroitinase Program that is in research stage for the treatment of spinal cord injury. The company has collaborations and license agreements with Biogen International GmbH; Alkermes plc; Rush-Presbyterian St. Luke's Medical Center; Alkermes, Inc.; SK Biopharmaceuticals Co., Ltd.; Astellas Pharma Europe Ltd.; Canadian Spinal Research Organization; Cambridge Enterprise Limited and King's College London; Mayo Foundation for Education and Research; Paion AG; Medarex, Inc.; and Brigham and Womens Hospital, Inc. Acorda Therapeutics, Inc. was founded in 1995 and is headquartered in Ardsley, New York.","{'name': 'Dr. Ron  Cohen', 'title': 'Founder, Chief Exec. Officer, Pres and Director', 'pay': '1.34M', 'exercised': '1.03M', 'age': '62'}","{'name': 'Mr. David  Lawrence M.B.A.', 'title': 'Chief of Bus. Operations and Principal Accounting Officer', 'pay': '623.05k', 'exercised': '8.29k', 'age': '60'}","{'name': 'Ms. Jane  Wasman J.D.', 'title': 'Pres of International, Gen. Counsel and Corp. Sec.', 'pay': '900.13k', 'exercised': '52.13k', 'age': '62'}","{'name': 'Mr. Andrew Asa Hindman M.B.A', 'title': 'Chief Bus. Devel. Officer', 'pay': '707.83k', 'exercised': 'N/A', 'age': '45'}","{'name': 'Dr. Burkhard  Blank M.D.', 'title': 'Chief Medical Officer', 'pay': '1.09M', 'exercised': 'N/A', 'age': '63'}"
ACRS,"Aclaris Therapeutics, Inc.",http://www.aclaristx.com,N/A,N/A,N/A,"Aclaris Therapeutics, Inc., a clinical-stage biotechnology company, focuses on identifying, developing, and commercializing topical drugs to address various unmet needs in dermatology. Its lead drug candidate is A-101, a hydrogen peroxide topical solution, which is in Phase III clinical trials for the treatment of seborrheic keratosis (SK), a common non-malignant skin tumor. The company is also developing A-101 as a prescription treatment for common warts. In addition, it is developing JAK inhibitors, including ATI-50001 that has completed Phase I clinical trial for the oral treatment of alopecia totalis and alopecia universalis; and ATI-50002, which has completed Phase I clinical trial for the topical treatment of patchy autoimmune dermatologic condition. Aclaris Therapeutics, Inc. was founded in 2012 and is headquartered in Malvern, Pennsylvania.","{'name': 'Dr. Neal  Walker D.O.', 'title': 'Co-Founder, Chief Exec. Officer, Pres and Director', 'pay': '704.1k', 'exercised': 'N/A', 'age': '48'}","{'name': 'Mr. Christopher V. Powala', 'title': 'Co-Founder and Chief Operating Officer', 'pay': '477.47k', 'exercised': 'N/A', 'age': '59'}","{'name': 'Ms. Kamil  Ali-Jackson J.D.', 'title': 'Co-Founder, Chief Legal Officer, Chief Compliance Officer and Sec.', 'pay': '460.52k', 'exercised': 'N/A', 'age': '59'}","{'name': 'Dr. Stuart D. Shanler M.D.', 'title': 'Co-Founder and Chief Scientific Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '57'}","{'name': 'Mr. Frank  Ruffo', 'title': 'Co-Founder and Chief Financial Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '52'}"
ADAP,Adaptimmune Therapeutics plc,http://www.adaptimmune.com,N/A,N/A,N/A,"Adaptimmune Therapeutics plc, a clinical-stage biopharmaceutical company, focuses on the provision of cancer immunotherapy products based on its proprietary SPEAR T-cell platform. Its platform enables to identify cancer targets; find and genetically engineer T-cell receptors (TCR); and produce TCR therapeutic candidates for administration to patients. The companys lead program includes NY-ESO-1 and LAGE-1a cancer antigens, which are in Phase I/II clinical trials for patients with solid tumors, as well as hematological cancer types, including synovial sarcoma, multiple myeloma, non-small cell lung cancer (NSCLC), and ovarian cancer; and pilot trial for myxoid round cell liposarcoma. It is also developing MAGE A-10 peptide that is in Phase I/II clinical trials to treat urothelial (bladder), melanoma, and head and neck cancers, as well as NSCLC; AFP SPEAR T-cell therapeutic candidate that has completed preclinical testing for targeting a peptide associated with hepatocellular carcinoma; and MAGE-A4 to treat urothelial (bladder), melanoma, head and neck, esophageal and gastric, and ovarian cancer, as well as NSCLC. It has a strategic collaboration and licensing agreement with GlaxoSmithKline for the development and commercialization of the NY-ESO SPEAR T-cell program; and strategic alliance with MD Anderson Cancer Center for the development of T-cell therapies for various cancers. The company also has a clinical trial collaboration agreement with Merck & Co., Inc. for the assessment of NY-ESO SPEAR T-cell in combination with anti-programmed death-1 inhibitor in patients with multiple myeloma; and a research, collaboration, and license agreement with Universal Cells, Inc. to gene editing and HLA-engineering technology, as well as a collaboration agreement with Bellicum Pharmaceutical Inc. to evaluate, develop, and commercialize next generation T-cell therapies. Adaptimmune Therapeutics plc was founded in 2014 and is headquartered in Abingdon, the United Kingdom.","{'name': 'Mr. James Julian Noble', 'title': 'Chief Exec. Officer and Director', 'pay': '505.96k', 'exercised': 'N/A', 'age': '59'}","{'name': 'Mr. Adrian  Rawcliffe', 'title': 'Chief Financial Officer', 'pay': '586.71k', 'exercised': 'N/A', 'age': '46'}","{'name': 'Dr. Rafael  Amado M.D.', 'title': 'Chief Medical Officer', 'pay': '566.39k', 'exercised': 'N/A', 'age': '54'}","{'name': 'Dr. Bent  Jakobsen Ph.D.', 'title': 'Scientific Co-Founder', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}","{'name': 'Dr. Helen Katrina Tayton-Martin Ph.D., MBA', 'title': 'Co-Founder and Chief Bus. Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '51'}"
ADMS,"Adamas Pharmaceuticals, Inc.",http://www.adamaspharma.com,N/A,N/A,N/A,"Adamas Pharmaceuticals, Inc., a pharmaceutical company, discovers, develops, and sells chrono-synchronous therapies for chronic neurologic disorders. The companys product portfolio comprises ADS-5102, a chrono-synchronous amantadine therapy for the treatment of levodopa-induced dyskinesia in patients with Parkinsons disease. Its portfolio also comprises of Namzaric (memantine hydrochloride extended-release and donepezil hydrochloride) capsules; and Namenda XR (memantine hydrochloride) extended release capsules for the treatment of moderate to severe Alzheimers disease. The companys products under development include ADS-4101, a chrono-synchronous lacosamide therapy that has completed first Phase I clinical study for the treatment of partial onset seizures in patients with epilepsy. The company was formerly known as NeuroMolecular Pharmaceuticals, Inc. and changed its name to Adamas Pharmaceuticals, Inc. in July 2007. Adamas Pharmaceuticals, Inc. was founded in 2000 and is headquartered in Emeryville, California.","{'name': 'Dr. Gregory T. Went Ph.D.', 'title': 'Co-Founder, Chairman & CEO', 'pay': '700.69k', 'exercised': 'N/A', 'age': '54'}","{'name': 'Ms. Jennifer J. Rhodes', 'title': 'Chief Bus. Officer, Gen. Counsel, Chief Compliance Officer & Corp. Sec.', 'pay': '328.53k', 'exercised': 'N/A', 'age': '48'}","{'name': 'Dr. Rajiv  Patni M.D.', 'title': 'Chief Medical Officer', 'pay': '551.4k', 'exercised': 'N/A', 'age': '49'}","{'name': 'Mr. Alfred G. Merriweather', 'title': 'Chief Financial Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '64'}","{'name': 'Mr. Richard A. King', 'title': 'Chief Operating Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '53'}"
ADRO,"Aduro BioTech, Inc.",http://www.aduro.com,Healthcare,Biotechnology,143,"Aduro BioTech, Inc., an immunotherapy company, focuses on the discovery, development, and commercialization that transform the treatment of challenging diseases. It is developing CRS-207, which has completed Phase Ib clinical trials for the treatment of unresectable malignant pleural mesothelioma; that has completed Phase II clinical trials for the treatment of pancreatic cancer; and that is in Phase I/II clinical trials for the treatment of ovarian cancer. The company is also developing ADU-214 that is in Phase I clinical trials for the treatment of lung cancer; ADU-741, which is in Phase I clinical trials for the treatment of prostate cancer; and a product candidate for the treatment of patients with cancers of the gastrointestinal tract. In addition, it is developing STING Pathway Activator product candidates that are synthetic small molecule immune modulators, which target and activate Stimulator of Interferon Genes receptor under collaboration with Novartis Pharmaceuticals Corporation; and product candidates that address other therapeutic areas, such as autoimmune and infectious diseases. Further, the companys products pipeline comprises BION-1301, a B-select mAb novel therapy for multiple myeloma; and antibody product candidates, including APRIL for the treatment of multiple myeloma, as well as oncology therapies, such as CD27, PD-1, and CTLA-4. Aduro BioTech, Inc. has development and commercialization agreement with Genmab to evaluate five bispecific antibody product candidates targeting immune checkpoints; and collaboration agreement with Janssen Biotech, Inc. and Merck. The company was formerly known as Oncologic, Inc. and changed its name to Aduro BioTech, Inc. in June 2008. Aduro BioTech, Inc. was founded in 2000 and is headquartered in Berkeley, California.","{'name': 'Mr. Stephen T. Isaacs', 'title': 'Chairman, Pres & CEO', 'pay': '823.7k', 'exercised': 'N/A', 'age': '69'}","{'name': 'Mr. Blaine E. Templeman', 'title': 'Exec. VP, Gen. Counsel and Sec.', 'pay': '698.68k', 'exercised': 'N/A', 'age': '52'}","{'name': 'Dr. Natalie R. Sacks M.D.', 'title': 'Chief Medical Officer', 'pay': '284.14k', 'exercised': 'N/A', 'age': '53'}","{'name': 'Ms. Jennifer  Lew', 'title': 'Sr. VP of Fin.', 'pay': 'N/A', 'exercised': 'N/A', 'age': '45'}","{'name': 'Mr. Gregory W. Schafer MBA', 'title': 'Chief Operating Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '54'}"
AERI,"Aerie Pharmaceuticals, Inc.",http://www.aeriepharma.com,N/A,N/A,N/A,"Aerie Pharmaceuticals, Inc., a clinical-stage pharmaceutical company, focuses on the discovery, development, and commercialization of first-in-class therapies for the treatment of glaucoma and other eye diseases. Its lead product candidate includes Rhopressa, a once-daily eye drop for the reduction of intraocular pressure (IOP) in patients with glaucoma or ocular hypertension. The company is also developing Roclatan, a once-daily eye drop to reduce IOP that is in Phase III registration trials to treat patients with open-angle glaucoma and ocular hypertension. Aerie Pharmaceuticals, Inc. has a collaborative research and development agreement with Royal DSM NV. Aerie Pharmaceuticals, Inc. was founded in 2005 and is based in Irvine, California.","{'name': 'Dr. Vincente J. Anido Jr., Ph.D.', 'title': 'Chairman & CEO', 'pay': '878.43k', 'exercised': 'N/A', 'age': '65'}","{'name': 'Mr. Thomas A. Mitro', 'title': 'Pres & COO', 'pay': '594.65k', 'exercised': 'N/A', 'age': '60'}","{'name': 'Mr. Richard J. Rubino CPA', 'title': 'CFO & Sec.', 'pay': '567.3k', 'exercised': 'N/A', 'age': '60'}","{'name': 'Dr. Casey C. Kopczynski Ph.D.', 'title': 'Co-Founder & Chief Scientific Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '57'}","{'name': 'Ms. Jessica  Crespo CPA', 'title': 'Director of Accounting', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
AGIO,"Agios Pharmaceuticals, Inc.",http://www.agios.com,N/A,N/A,N/A,"Agios Pharmaceuticals, Inc., a biopharmaceutical company, engages in the discovery and development of medicines for the treatment of cancer and rare genetic metabolic disorders in the United States. It is developing Enasidenib, a potent inhibitor of the mutated isocitrate dehydrogenase (IDH) 2 protein that is in Phase 1/2 clinical trial for patients with advanced hematologic malignancies with an IDH 2 mutation; Phase 3 clinical trial for patients with IDH2 mutant-positive acute myeloid leukemia (AML); Phase 1b frontline combination trial for patients with newly diagnosed AML with an IDH2 or IDH1 mutation; and Phase 1/2 frontline combination trial for patients with newly diagnosed AML. The company is also developing Ivosidenib, a potent inhibitor of the mutated IDH1 protein, which is in Phase 1 clinical trial for patients with advanced hematologic malignancies with an IDH1 mutation; Phase 1 clinical trial for advanced solid tumors; Phase 3 clinical trial for patients with nonresectable or metastatic cholangiocarcinoma with an IDH1 mutation; Phase 1b frontline combination trial for patients with newly diagnosed AML with an IDH2 or IDH1 mutation; and Phase 1/2 frontline combination and Phase 3 clinical trials for newly diagnosed AML patients. In addition, it is developing AG-881, a pan-IDH mutant inhibitor that is in Phase 1 clinical trials for the treatment of hematologic malignancies and solid tumors; and AG-348, a small molecule potent activator that is in Phase 2 clinical trial for the treatment of pyruvate kinase deficiency. It has a collaboration and license agreement with Celgene Corporation to discover, develop, and commercialize disease-altering therapies in oncology; and Celgene International II Sarl to develop and commercialize AG-881 products. The company was founded in 2007 and is headquartered in Cambridge, Massachusetts.","{'name': 'Dr. David P. Schenkein M.D.', 'title': 'CEO, Pres & Director', 'pay': '918.73k', 'exercised': '2.36M', 'age': '61'}","{'name': 'Dr. Lewis Clayton Cantley Ph.D.', 'title': 'Co-Founder, Director & Member of Scientific Advisory Board', 'pay': '48.12k', 'exercised': 'N/A', 'age': '69'}","{'name': 'Mr. Andrew  Hirsch', 'title': 'Chief Financial Officer', 'pay': '303.37k', 'exercised': 'N/A', 'age': '47'}","{'name': 'Dr. Scott A. Biller Ph.D.', 'title': 'Chief Scientific Officer', 'pay': '593.87k', 'exercised': '5.01M', 'age': '62'}","{'name': 'Dr. Christopher  Bowden M.D.', 'title': 'Chief Medical Officer', 'pay': '619.63k', 'exercised': 'N/A', 'age': '57'}"
